,vehicle_id,brand,model,category_id
0,1,Abarth,500,1
1,2,Abarth,500C,1
2,3,Abarth,595,1
3,4,Abarth,595C,1
4,5,Abarth,695,1
5,6,Abarth,695C,1
6,7,Abarth,Grande Punto,1
7,8,Abarth,Punto Evo,1
8,9,AC,None,1
9,10,Acura,MDX,1
10,11,Acura,NSX,1
11,12,Acura,RL,1
12,13,Acura,RSX,1
13,14,Acura,TL,1
14,15,Acura,TSX,1
15,16,Aixam,City,1
16,17,Aixam,Crossline,1
17,18,Aixam,Roadline,1
18,19,Aixam,Scouty R,1
19,20,Alfa Romeo,4C,1
20,21,Alfa Romeo,8C,1
21,22,Alfa Romeo,Alfa 145,1
22,23,Alfa Romeo,Alfa 146,1
23,24,Alfa Romeo,Alfa 147,1
24,25,Alfa Romeo,Alfa 155,1
25,26,Alfa Romeo,Alfa 156,1
26,27,Alfa Romeo,Alfa 159,1
27,28,Alfa Romeo,Alfa 164,1
28,29,Alfa Romeo,Alfa 166,1
29,30,Alfa Romeo,Alfa 33,1
30,31,Alfa Romeo,Alfa 75,1
31,32,Alfa Romeo,Alfa 90,1
32,33,Alfa Romeo,Alfasud,1
33,34,Alfa Romeo,Alfetta,1
34,35,Alfa Romeo,Brera,1
35,36,Alfa Romeo,Crosswagon,1
36,37,Alfa Romeo,Giulia,1
37,38,Alfa Romeo,Giulietta,1
38,39,Alfa Romeo,GT,1
39,40,Alfa Romeo,GTV,1
40,41,Alfa Romeo,Junior,1
41,42,Alfa Romeo,MiTo,1
42,43,Alfa Romeo,Spider,1
43,44,Alfa Romeo,Sprint,1
44,45,ALPINA,B10,1
45,46,ALPINA,B12,1
46,47,ALPINA,B3,1
47,48,ALPINA,B4,1
48,49,ALPINA,B5,1
49,50,ALPINA,B6,1
50,51,ALPINA,B7,1
51,52,ALPINA,B8,1
52,53,ALPINA,D 10,1
53,54,ALPINA,D3,1
54,55,ALPINA,D5,1
55,56,ALPINA,Roadster S,1
56,57,ALPINA,XD3,1
57,58,Artega,GT,1
58,59,Asia Motors,Rocsta,1
59,60,Aston Martin,AR1,1
60,61,Aston Martin,Cygnet,1
61,62,Aston Martin,DB,1
62,63,Aston Martin,DB7,1
63,64,Aston Martin,DB9,1
64,65,Aston Martin,DBS,1
65,66,Aston Martin,Lagonda,1
66,67,Aston Martin,Rapide,1
67,68,Aston Martin,V12 Vantage,1
68,69,Aston Martin,V8 Vantage,1
69,70,Aston Martin,Vanquish,1
70,71,Aston Martin,Virage,1
71,72,Audi,100,1
72,73,Audi,200,1
73,74,Audi,80,1
74,75,Audi,90,1
75,76,Audi,A1,1
76,77,Audi,A2,1
77,78,Audi,A3,1
78,79,Audi,A4,1
79,80,Audi,A4 Allroad,1
80,81,Audi,A5,1
81,82,Audi,A6,1
82,83,Audi,A6 Allroad,1
83,84,Audi,A7,1
84,85,Audi,A8,1
85,86,Audi,Cabriolet,1
86,87,Audi,Coupe,1
87,88,Audi,Q3,1
88,89,Audi,Q5,1
89,90,Audi,Q7,1
90,91,Audi,QUATTRO,1
91,92,Audi,R8,1
92,93,Audi,RS2,1
93,94,Audi,RS3,1
94,95,Audi,RS4,1
95,96,Audi,RS5,1
96,97,Audi,RS6,1
97,98,Audi,RS7,1
98,99,Audi,RSQ3,1
99,100,Audi,S1,1
100,101,Audi,S2,1
101,102,Audi,S3,1
102,103,Audi,S4,1
103,104,Audi,S5,1
104,105,Audi,S6,1
105,106,Audi,S7,1
106,107,Audi,S8,1
107,108,Audi,SQ5,1
108,109,Audi,TT TT,1
109,110,Audi,TT TT RS,1
110,111,Audi,TT TTS,1
111,112,Audi,V8,1
112,113,Austin,None,1
113,114,Austin Healey,None,1
114,115,Bentley,Arnage,1
115,116,Bentley,Azure,1
116,117,Bentley,Brooklands,1
117,118,Bentley,Continental Continental,1
118,119,Bentley,Continental Continental Flying Spur,1
119,120,Bentley,Continental Continental GT,1
120,121,Bentley,Continental Continental GTC,1
121,122,Bentley,Continental Continental Supersports,1
122,123,Bentley,Eight,1
123,124,Bentley,Flying Spur,1
124,125,Bentley,Mulsanne,1
125,126,Bentley,Turbo R,1
126,127,Bentley,Turbo RT,1
